id,comment,is_representative
694,生成 AI の技術的な手法については否定する考えはないが、画像生成 AI についてはすでに本来の著作者に許可を得ない形で投稿された画像が利用されていることがわかっている。画像生成 AI の肯定は、それらの違法行為の肯定になっていると考えている。イラストレーターが描かれた作品についてはみたいのであれば、それに対する正当な対価を払うべきでそれが行えていない現状では利用そのものが良しとされているのは間接的に描いてくださっている方への攻撃だと考えている。また、仕事で WEB サービスの開発をしており直接的には関わっていないが、コンテンツの流出対策を聞いたりしていると各社で対策をしているがそれでもいたちごっこになっている。画像生成 AI の利用はそうしたサービスが対策して根絶しようとしているサイトを助ける形になっていると考えている。上記理由で画像生成 AI は利用すべきではないと考えているし、違法なものを利用していると言う点で問題があることが周知されていないことは問題だと考えている。,True
120,「4.関係者からの様々な懸念の声について」現在公にされている画像生成 AI は問題点が複数あり、一つ目は先述した学習元に無許可で学習させていること。二つ目は SNS に投稿されている実在児童の写真や、同じく SNSに投稿された性的虐待などで裸にさせられた実在児童の写真も学習させていること。つまり児童ポルノ問題。三つ目は学習元に無許可で画像生成 AI に学習させることは違法ではないため、自分のイラストを学習させないでほしいと言っているクリエイターのイラストを学習させても問題がない、つまり画像生成 AI を用いた嫌がらせ行為をされても大きな被害が出なければ対処できないということです。一つ目について。例えばイラストだと、学習元のイラストを描いたクリエイターに許可を取っていないため、その学習元と酷似したイラストが生成されたら著作権侵害にあたるのではないかと考えています。勝訴敗訴に拘らずクリエイターが裁判を起こすことは可能ですがお金も時間もかかるため、可能であればそもそもそのような出来事は起きないほうがいいと思われます。つまり学習元を生み出した人に許可を取ったイラストや写真などだけを学習させるということです。二つ目について。現在 SNS では実在児童の写真が大量に投稿されています。その写真の被写体の児童も大量にいます。そのため、画像生成 AI を使用した際に学習元の実在児童の一人に酷似したものが生成される可能性があります。その生成物を SNS に投稿されたら、内容によっては学習元の実在児童やその親などに被害が生まれる可能性があります。例えば投稿されたのが「実在している幼稚園児に酷似した人物が深い川に近付いている生成物」だったとして、学習元の児童の親が「小さい子供だから危険な目にあうかもしれないのに目を離すなんて。この親は虐待をしている」というような誤解をその生成物を見た周りの人から受け、批判をされるという事態が起きる可能性があります。画像生成 AI で生成した生成物を SNS に投稿する人の中には、画像生成 AI で生成したものと明記をしていない人も大量にいるからです。実際に起きている事例として、正月に発生した地震の際に、画像生成 AI で生成された地面がひび割れていたりしている悪質なフェイク画像を SNS に投稿した人がいて、その投稿を見た被災していない人が信じてしまい、「ここは危ない」という誤解をして広めてしまう人が多数現れました。被災した人を少しでも助けたいという善意を踏みにじる最低な投稿です。三つ目は、現在 SNS では自分のイラストを画像生成 AI に学習させないでほしいと明言しているクリエイターが、自分のイラストを AI に読み込まれ SNS に投稿されるという嫌がらせ行為をされています。また嫌がらせ行為をしている人と同一人物かは不明ですが殺害予告もされています。相手は過去にも同じクリエイターのイラストを画像生成 AI に読み込ませ、クリエイター本人にやめてほしいと言われていました。ですが相手は画像生成 AIを批判している人を嫌っているため、嫌がらせとしてその後もこのクリエイターのイラストを読み込ませて、クリエイターに誹謗中傷・人格否定・差別発言をしていました。またこのクリエイター以外にも、自分のイラストを画像生成 AI に学習させないでと言っているクリエイターが、嫌がらせとして画像生成 AI 利用者に自分のイラストを読み込まれるという事案が複数発生しています。画像生成 AI を用いた嫌がらせ行為をされたクリエイターは複数います。その他にも、特定のクリエイターの絵柄にとても酷似した絵柄の下品なイラストを生成し、画像生成 AI の生成物と明記せず SNS に投稿してそのクリエイターに悪いイメージを植え付けたり、「あのクリエイターはこんな下品なイラストを描く人だったのか」という誤解をされファンや仕事が減ったりして金銭的な被害を受ける可能性もあります。幼児向けの本に携わっているクリエイターであればイメージは大切なためより問題です。クリエイターやモデルや実在児童などを守るために・イラストや漫画などを描いた人、写真を撮影した人と被写体両方に許可を取れたものだけを学習させる・先述した人に「これは学習させたくなくなったからデータセットから取り消してほしい」などを言われたら、その画像生成 AI をリリースする前でもリリースした後でも従い取り消す（その度にどのイラストなどを取り消したかというのを公式 SNS や公式サイトで発表する）・学習に使用されているもの（データセットの中身）を常に誰でも見られるようにする・生成物のどこかにマークが入る仕様にして、そのマークを消して SNS に投稿したら規約違反でアカウント BAN や裁判などの対処をする画像生成 AI にはこの 4 つを求めます。不可能なら出来るように法改正を。,False
176,関係者からの様々な懸念の声について、でしょうか……画像生成 AI の学習素材として Danbooru 等の無断転載サイトやイラスト投稿サイトであろうはずの pixiv が使われていることを知ってからいち絵描きとしてイラストを投稿すると生成 AI に無断学習として描いたイラストが盗まれる、という悪循環となっています。そういった問題が起こらなければ開発されることは無かったであろう、『Glaze』や『NightShade』といった画像保護ツールが広まっていますが、これを「AI」の技術で復元などと、同一性保持権侵害まで起きています。根本的解決案として生成 AI を排除しろ、とまでは言いませんが、せめて例えば『自分で描いたイラストのみしか学習教材として使えない生成 AI』をですね……,False
274,今の生成 AI において一部の生成 AI 利用者による SNS における手描きイラストの無断学習・i2i「image to image」による手描きイラスト製作者への著作権侵害及び無断学習させた生成 AI イラスト営利目的に利用の他の被害が相次いでおりさらに昨今では X などの SNS 生成 AI イラストを利用して手描きイラスト製作者への殺人教唆及び脅迫行為の他、今年元日に発生した石川県震災に便乗して作られた震災のフェイクイラストによる悪質極まりない迷惑行為や犯罪に繋がりかねない行動が目立ちますこのまま野放しにしておけば、個人写真を生成 A に無断学習させ、それで生成した AI 画像を利用したプライバシーの侵害や誹謗中傷、最悪の場合生成した AI 画像を利用した金銭などの強請・恫喝・ニュースでやってた岸田総理の写真と AI に学習させた音声を使っての成りすましによる名誉毀損などの犯罪につながる可能性がありますこの最悪の事態を回避し手描きイラスト製作者と我々市民の著作権と安全を護るためにも、現在問題となってる生成 AI に対ししっかりとした法整備と規制を設けるべきだと考えます具体的には・生成 AI イラストで使用されたキャライラストが著作権に侵害してるかの審査・生成 AI イラスト利用者による生成 AI イラストを使用した殺人教唆・名誉毀損・強請・フェイクイラストなどの犯罪行為や迷惑行為に対する刑罰・生成 AI を安心・安全に利用する為に i2i 「image to image」による著作権イラストや音声の無断学習・無断複製をさせない生成 AI の発足・生成 AI で著作権があるイラストや人物画を使用する際に手描きイラスト同様の手続き等を定める規制等以上です,False
342,画像生成 ai に厳格な法整備を進めてください例として、特定の人物の作品を大量に読み込ませて作ったと公言して投稿されている画像などがあります。公言されているのにも関わらず、オリジナルを製作している人はそれに対してグレーだからと泣き寝入りをするしかないというのが現状です。また、公言していなくとも類似性の高さから日本のアニメーションを無断で切り抜きその画像を大量に読み込ませて作られて生まれた作品も数々見受けられます。本来こういったものは著作権違反に当たるはずなのに現行ではグレーになっており個人又は企業の著作物が合法的に搾取されている状態が続いています。世界に誇る日本のカルチャーの一つである漫画アニメ文化を守るためにも学習元のデータセットの公開を義務付けてクリエイターの方々が安心して作品作りをできるような環境(制度)を整えてください。,False
362,画像生成 AI についての意見画像生成 AI で無断でイラストを利用するのは良くないです。無断で使用し、収益を得ることも許されることではありません。現状、sns で無断でイラストを利用した挙句、イラストを描いた本人に侮辱とも取れるような発言をしたりしているような人も見ています。そんな事をされてしまっては、絵を描くことが楽しくなくなってしまう方もいると思います。嫌がらせ行為でしかありません。たくさんの絵描きの方から作品を盗んで混ぜて、自分に作品ですみたいなのは不愉快極まりないでしょう。たくさんの努力で培ってきた絵描きの方達の技術・知識はそう簡単に得られるものではありません。多くの絵描きの方が画像生成 AI を否定しているにも関わらず、それも無視して使用しもっと素材を寄越せと言うのはおかしな話だと思います。私は画像生成 AI 自体に反対しますが、今後も使う人はいなくならないと思うので、使う場合は、無断で使用を許可されているフリー素材のようなものを作り、その中で個人で楽しむような利用法が現状の画像生成 AI 技術には適切だと思います。sns にその画像を投稿するならば、AI 仕様と明言する事を決まりとする必要があると思います。,False
365,法律や条例・命令を作る時に、作る側の人がそれを許すとどうしてみんなが困るのかを自身に置き換えて分からないといけないと思うので少し書きます。現在創作界隈では純粋な全年齢イラストやファンアートを取り込んだ AI にそのイラストの成人向け描写差分を作らせ公開するという悪質なことが起きています。これはイラストに限った話ではなく、現実の写真でもコスプレイヤーの写真をその人の顔やポーズはそのまま女体の裸と合成するなどの倫理観のない迷惑行為が発生しています。これは被害者は女性に限られるだろうなどと思って軽く考えないでいただきたいです。コスプレイヤーの件は女装コスプレイヤー、つまり男性です。見知らぬ人から見たらそれらの画像を本人が描いたり撮ったりしたものなのか否か分かりません。それが 1 度出て広まると完全な削除は出来なくなります。性別や年齢など関係なく被害に遭う可能性は十分にあります。議員の人達も例外ではありません。若い女性や子供だけではなく、見た目が男なのに歳をとってるのにとか、ルールを決めるあなた方が興味なくてもそんなことは関係なく身近な人が被害に遭う可能性は十分にあります。現に音声や映像を加工されて首相に下品なことを言わせる変な動画が出ていましたよね。自分の姿や声がそういうものに消費され世界中に出回り一生消さないことを良しとする人がどれだけいるでしょう。イラストなどの作者も同じ思いです。ああいうの害悪な物を増やさないよう強い規制を敷いてほしいと思います。AI の規制が緩いことは表現の自由を守ることにはなりません。自由には責任が発生します。AI 生成を好んで使う人達の大半は面白そうとかいう軽い気持ちでそれらを生成し、素材にした人やイラストに実害や損害が起きても責任を持とうとしません。規制をすることで、法できちんと裁かれる形で強制的に責任を取らせてほしいと思います。,False
384,イラストなどを描くクリエイターです。AI によるイラスト学習のせいで自分の絵が脅かされる、悪質な利用をされることに不安、不快に思っております。自身の磨いた努力や技術を冒涜する行為を嘲笑するような行為を主に見受けられるため、厳しく取り締まって頂きたく思います。イラストのみならず多種多様な方面で侵害行為を許してはいけないと感じます。簡単だから、で済ましてはいけないものと思いますので、安易に決めず厳粛に取り扱ってくださいますようよろしくお願いいたします。,False
415,5.各論点について1 学習段階について2 生成・利用段階について学習元に無断で AI 画像を生成できてしまう点が良くないと考えます。SNS の顔写真から生成したポルノ画像やフェイク画像は特に恐ろしいです。嫌がらせ、フェイクニュースなどがとても増えると思います。また絵を職業とする人の不利益は特に大きく、生活に関わります。画像生成 AI がなくとも業界は発展して行けると思います。学習元を全て開示し誰でも見れるようにする、作品に生成 AI である事を明記する、などのルールがあれば良いと思います。,False
438,（１）生成 AI について前提として、生成 AI への学習を拒否しているクリエイターの著作物を無断で生成 AI に取り込んだうえ、アダルト画像やイラストを生成し、それらを販売し利益を得ているモラルのない人間が多数出現している現状があり、あまりにも悪質性が高い。クリエイターが何年もかけて培ってきた努力の成果が作品であり、その人特有の画風である。それらを無断で搾取したうえ、我が物顔で利益を得ている人間がいる、クリエイターの著作権が守られていない現状から都合よく政府が目を逸らすのは許されない。被害に遭ったクリエイターがやめるよう声を上げても、生成 AI で利益を得ている界隈から人格否定・脅迫・嫌がらせなどが頻発し精神的苦痛を受け、生活を脅かされているような状態で法案が推し進められること自体ありえない。このまま推し進めたとして、確実に日本の芸術文化が発展することはないし、衰退していくばかりなのは目に見えている。,False
